Season,MatchID,DateUTC,Round,Home,Away,Side,Team,Formation,StarterNo,PlayerID,Player,FirstName,LastName,PositionID,UsualPlayingPositionID,ShirtNumber,Age,CountryName,CountryCode,IsCaptain,MarketValue,Rating,CanonicalURL
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,2,309328,Milan Skriniar,Milan,Skriniar,33,1,37,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,3,188555,Stefan de Vrij,Stefan,de Vrij,35,1,6,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,4,805451,Alessandro Bastoni,Alessandro,Bastoni,37,1,95,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,5,46820,Matteo Darmian,Matteo,Darmian,71,1,36,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,6,541820,Nicolo Barella,Nicolo,Barella,73,2,23,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,7,206508,Marcelo Brozovic,Marcelo,Brozovic,75,2,77,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,8,304733,Hakan Calhanoglu,Hakan,Calhanoglu,77,2,20,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,9,163670,Ivan Perisic,Ivan,Perisic,79,1,14,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,10,470479,Stefano Sensi,Stefano,Sensi,95,2,12,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Home,Inter,3-5-1-1,11,15403,Edin Dzeko,Edin,Dzeko,115,3,9,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,1,27659,Salvatore Sirigu,Salvatore,Sirigu,11,0,57,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,2,422719,Davide Biraschi,Davide,Biraschi,33,1,14,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,3,846608,Zinho Vanheusden,Zinho,Vanheusden,35,1,3,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,4,41882,Domenico Criscito,Domenico,Criscito,37,1,4,,,,True,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,5,244966,Stefano Sturaro,Stefano,Sturaro,72,2,27,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,6,1020963,Nicolo Rovella,Nicolo,Rovella,74,2,65,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,7,141699,Milan Badelj,Milan,Badelj,76,2,47,,,,False,,,https://www.fotmob.com/match/3656995
2021-22,3656995,2021-08-21T16:30:00Z,1,Inter,Genoa,Away,Genoa,3-4-1-2,8,1078846,Andrea Cambiaso,Andrea,Cambiaso,78,1,50,,,,False,,,https://www.fotmob.com/match/3656995
